Annual Subway Ridership,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2016,2017,2018,2019,2020,2021,2020-2021 Change,,2021 Rank
Ocean Pkwy (Q),,B,"1,016,458","1,022,378","1,018,695","1,033,340","462,998","548,606","85,608",18.50%,348
Park Pl (S),,B,"576,122","575,188","537,340","519,984","214,950","259,323","44,373",20.60%,409
Parkside Av (Q),,B,"1,783,716","1,953,704","1,979,647","1,955,051","861,896","1,070,163","208,267",24.20%,226
Pennsylvania Av (3),28,B,"753,493","1,054,654","1,279,685","1,360,708","662,596","719,312","56,716",8.60%,304
"President St (2,5)",,B,"1,226,582","1,227,134","1,197,019","1,037,219","443,229","559,407","116,178",26.20%,344
Prospect Av (R),29,B,"1,758,711","961,733","1,638,002","1,780,893","676,624","885,878","209,254",30.90%,265
"Prospect Park (B,Q,S)",,B,"3,272,810","3,421,790","3,289,464","3,323,334","1,261,501","1,604,509","343,008",27.20%,147
Ralph Av (C),,B,"1,863,036","1,894,817","1,850,375","1,829,126","818,101","878,860","60,759",7.40%,267
Rockaway Av (3),30,B,"1,534,978","1,685,468","1,412,271","1,451,431","722,986","764,655","41,669",5.80%,292
Rockaway Av (C),,B,"1,786,802","1,794,365","1,790,683","1,787,343","781,385","837,692","56,307",7.20%,277
Saratoga Av (3),31,B,"1,208,956","1,702,107","1,535,733","1,556,357","786,160","841,082","54,922",7.00%,274
"Sheepshead Bay (B,Q)",,B,"4,322,837","4,297,325","4,183,545","4,169,796","1,772,098","2,052,229","280,131",15.80%,104
Shepherd Av (C),,B,"1,059,144","1,038,180","990,387","977,012","449,144","472,122","22,978",5.10%,366
"Smith-9 Sts (F,G)",,B,"1,533,167","1,484,326","1,466,151","1,435,824","609,725","698,444","88,719",14.60%,310
"Sterling St. (2,5)",,B,"1,805,238","1,787,994","1,753,125","1,654,809","745,895","911,058","165,163",22.10%,258
Sutter Av (L),,B,"1,435,112","1,394,283","1,246,958","1,047,762","483,645","512,751","29,106",6.00%,358
Sutter Av-Rutland Rd (3),32,B,"2,035,027","1,049,559","1,968,448","2,019,485","995,590","1,056,784","61,194",6.10%,231
Union St (R),,B,"2,024,863","1,935,724","2,090,848","2,271,983","808,042","1,093,965","285,923",35.40%,221
"Utica Av (A,C)",,B,"5,152,649","5,271,782","5,195,786","5,106,247","2,085,483","2,249,322","163,839",7.90%,90
Van Siclen Av (3),33,B,"1,250,237","1,078,048","854,150","853,106","413,650","413,686",36,0.00%,385
Van Siclen Av (C),,B,"1,017,779","1,026,358","955,230","918,811","437,290","442,084","4,794",1.10%,374
"Van Siclen Av (J,Z)",,B,"983,370","910,042","818,735","791,691","416,713","459,448","42,735",10.30%,369
"West 8 St-New York Aquarium (F,Q)",,B,"795,636","789,104","818,685","837,836","315,691","431,449","115,758",36.70%,377
Wilson Av (L),34,B,"1,219,239","1,471,094","1,420,065","1,290,221","587,630","761,687","174,057",29.60%,293
"Winthrop St (2,5)",,B,"2,146,809","2,148,162","2,140,028","1,882,065","974,253","1,203,929","229,676",23.60%,199
York St (F),,B,"3,286,640","3,172,717","3,256,154","3,927,129","1,257,103","1,561,021","303,918",24.20%,154
1 Av (L),,M,"7,660,896","7,071,729","6,743,140","5,345,371","2,177,284","3,960,124","1,782,840",81.90%,36
